Model,MDO32
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,1.64452e-06
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,1.76
,
,
,
Label,
TIME,CH1
-1.5148e-07,-0.008
-1.5108e-07,-0.008
-1.5068e-07,-0.008
-1.5028e-07,0
-1.4988e-07,0.008
-1.4948e-07,0
-1.4908e-07,-0.016
-1.4868e-07,-0.008
-1.4828e-07,-0.008
-1.4788e-07,0
-1.4748e-07,0.008
-1.4708e-07,0.008
-1.4668e-07,0
-1.4628e-07,-0.008
-1.4588e-07,-0.016
-1.4548e-07,-0.008
-1.4508e-07,0.008
-1.4468e-07,0.016
-1.4428e-07,0
-1.4388e-07,0
-1.4348e-07,-0.016
-1.4308e-07,-0.008
-1.4268e-07,-0.008
-1.4228e-07,0.008
-1.4188e-07,0.016
-1.4148e-07,0.008
-1.4108e-07,0
-1.4068e-07,-0.008
-1.4028e-07,-0.008
-1.3988e-07,0
-1.3948e-07,0.008
-1.3908e-07,0.016
-1.3868e-07,0
-1.3828e-07,-0.008
-1.3788e-07,-0.016
-1.3748e-07,-0.008
-1.3708e-07,0.008
-1.3668e-07,0.008
-1.3628e-07,0.008
-1.3588e-07,0
-1.3548e-07,0
-1.3508e-07,0
-1.3468e-07,0
-1.3428e-07,0.008
-1.3388e-07,0.016
-1.3348e-07,0.016
-1.3308e-07,-0.008
-1.3268e-07,-0.008
-1.3228e-07,0
-1.3188e-07,0
-1.3148e-07,0.008
-1.3108e-07,0.008
-1.3068e-07,0.008
-1.3028e-07,-0.008
-1.2988e-07,0
-1.2948e-07,0
-1.2908e-07,0.008
-1.2868e-07,0.024
-1.2828e-07,0.008
-1.2788e-07,-0.008
-1.2748e-07,-0.008
-1.2708e-07,0
-1.2668e-07,0.008
-1.2628e-07,0
-1.2588e-07,0.008
-1.2548e-07,0
-1.2508e-07,0
-1.2468e-07,-0.016
-1.2428e-07,-0.008
-1.2388e-07,0
-1.2348e-07,0.008
-1.2308e-07,0.008
-1.2268e-07,0.008
-1.2228e-07,-0.008
-1.2188e-07,-0.008
-1.2148e-07,0
-1.2108e-07,0.008
-1.2068e-07,0.016
-1.2028e-07,0.008
-1.1988e-07,0
-1.1948e-07,-0.016
-1.1908e-07,-0.008
-1.1868e-07,-0.008
-1.1828e-07,0.008
-1.1788e-07,0.008
-1.1748e-07,0
-1.1708e-07,-0.008
-1.1668e-07,-0.008
-1.1628e-07,-0.008
-1.1588e-07,0
-1.1548e-07,0
-1.1508e-07,0
-1.1468e-07,-0.008
-1.1428e-07,-0.008
-1.1388e-07,-0.008
-1.1348e-07,-0.008
-1.1308e-07,0.008
-1.1268e-07,0.016
-1.1228e-07,-0.008
-1.1188e-07,-0.008
-1.1148e-07,-0.008
-1.1108e-07,-0.008
-1.1068e-07,0.008
-1.1028e-07,0
-1.0988e-07,0
-1.0948e-07,0
-1.0908e-07,0
-1.0868e-07,-0.008
-1.0828e-07,0
-1.0788e-07,0.008
-1.0748e-07,0.008
-1.0708e-07,0.008
-1.0668e-07,0
-1.0628e-07,-0.008
-1.0588e-07,0
-1.0548e-07,0
-1.0508e-07,0.008
-1.0468e-07,0.008
-1.0428e-07,0
-1.0388e-07,-0.008
-1.0348e-07,-0.008
-1.0308e-07,-0.008
-1.0268e-07,0
-1.0228e-07,0.008
-1.0188e-07,0.016
-1.0148e-07,0
-1.0108e-07,-0.008
-1.0068e-07,0
-1.0028e-07,0
-9.9882e-08,0
-9.9482e-08,0.008
-9.9082e-08,0.008
-9.8682e-08,0
-9.8282e-08,-0.008
-9.7882e-08,-0.008
-9.7482e-08,0
-9.7082e-08,0.008
-9.6682e-08,0.008
-9.6282e-08,0
-9.5882e-08,-0.008
-9.5482e-08,-0.008
-9.5082e-08,0
-9.4682e-08,0
-9.4282e-08,0
-9.3882e-08,0
-9.3482e-08,0
-9.3082e-08,-0.008
-9.2682e-08,-0.008
-9.2282e-08,-0.008
-9.1882e-08,0.008
-9.1482e-08,0.008
-9.1082e-08,0
-9.0682e-08,0.008
-9.0282e-08,-0.016
-8.9882e-08,-0.008
-8.9482e-08,0
-8.9082e-08,0.008
-8.8682e-08,0.008
-8.8282e-08,-0.008
-8.7882e-08,0
-8.7482e-08,-0.008
-8.7082e-08,0.008
-8.6682e-08,0.008
-8.6282e-08,0.016
-8.5882e-08,0.008
-8.5482e-08,0
-8.5082e-08,-0.008
-8.4682e-08,-0.016
-8.4282e-08,-0.008
-8.3882e-08,0.008
-8.3482e-08,0.016
-8.3082e-08,0
-8.2682e-08,-0.008
-8.2282e-08,-0.008
-8.1882e-08,-0.008
-8.1482e-08,0.008
-8.1082e-08,0.008
-8.0682e-08,0.016
-8.0282e-08,-0.008
-7.9882e-08,0
-7.9482e-08,0
-7.9082e-08,0
-7.8682e-08,0.008
-7.8282e-08,0.008
-7.7882e-08,0.008
-7.7482e-08,-0.008
-7.7082e-08,-0.016
-7.6682e-08,0
-7.6282e-08,0
-7.5882e-08,0.016
-7.5482e-08,0.008
-7.5082e-08,0.008
-7.4682e-08,0
-7.4282e-08,-0.008
-7.3882e-08,-0.008
-7.3482e-08,0.008
-7.3082e-08,0.016
-7.2682e-08,0.008
-7.2282e-08,-0.008
-7.1882e-08,-0.008
-7.1482e-08,-0.008
-7.1082e-08,-0.008
-7.0682e-08,0
-7.0282e-08,0.008
-6.9882e-08,0.008
-6.9482e-08,-0.016
-6.9082e-08,-0.008
-6.8682e-08,-0.008
-6.8282e-08,0.008
-6.7882e-08,0
-6.7482e-08,0.008
-6.7082e-08,0
-6.6682e-08,-0.008
-6.6282e-08,-0.008
-6.5882e-08,0
-6.5482e-08,0.008
-6.5082e-08,0
-6.4682e-08,0
-6.4282e-08,0
-6.3882e-08,-0.008
-6.3482e-08,-0.008
-6.3082e-08,0
-6.2682e-08,0.008
-6.2282e-08,0.008
-6.1882e-08,0
-6.1482e-08,0
-6.1082e-08,-0.008
-6.0682e-08,0.008
-6.0282e-08,0
-5.9882e-08,0.008
-5.9482e-08,0.008
-5.9082e-08,0
-5.8682e-08,-0.016
-5.8282e-08,-0.008
-5.7882e-08,0
-5.7482e-08,0.008
-5.7082e-08,0.016
-5.6682e-08,0
-5.6282e-08,0
-5.5882e-08,-0.008
-5.5482e-08,0
-5.5082e-08,0
-5.4682e-08,0.008
-5.4282e-08,0.008
-5.3882e-08,0.008
-5.3482e-08,-0.008
-5.3082e-08,-0.008
-5.2682e-08,-0.024
-5.2282e-08,0
-5.1882e-08,0
-5.1482e-08,0.008
-5.1082e-08,0
-5.0682e-08,-0.008
-5.0282e-08,0
-4.9882e-08,0.008
-4.9482e-08,0
-4.9082e-08,0.008
-4.8682e-08,-0.008
-4.8282e-08,-0.008
-4.7882e-08,-0.024
-4.7482e-08,-0.024
-4.7082e-08,-0.008
-4.6682e-08,-0.016
-4.6282e-08,0.008
-4.5882e-08,-0.008
-4.5482e-08,-0.008
-4.5082e-08,-0.016
-4.4682e-08,-0.016
-4.4282e-08,-0.016
-4.3882e-08,-0.016
-4.3482e-08,-0.024
-4.3082e-08,-0.04
-4.2682e-08,-0.048
-4.2282e-08,-0.056
-4.1882e-08,-0.056
-4.1482e-08,-0.048
-4.1082e-08,-0.048
-4.0682e-08,-0.04
-4.0282e-08,-0.04
-3.9882e-08,-0.048
-3.9482e-08,-0.032
-3.9082e-08,-0.032
-3.8682e-08,-0.032
-3.8282e-08,-0.008
-3.7882e-08,-0.04
-3.7482e-08,-0.04
-3.7082e-08,-0.04
-3.6682e-08,-0.04
-3.6282e-08,-0.024
-3.5882e-08,-0.016
-3.5482e-08,-0.024
-3.5082e-08,-0.048
-3.4682e-08,-0.048
-3.4282e-08,-0.048
-3.3882e-08,-0.056
-3.3482e-08,-0.032
-3.3082e-08,-0.04
-3.2682e-08,-0.04
-3.2282e-08,-0.048
-3.1882e-08,-0.04
-3.1482e-08,-0.048
-3.1082e-08,-0.024
-3.0682e-08,-0.016
-3.0282e-08,-0.024
-2.9882e-08,-0.048
-2.9482e-08,-0.04
-2.9082e-08,-0.04
-2.8682e-08,-0.056
-2.8282e-08,-0.064
-2.7882e-08,-0.048
-2.7482e-08,-0.056
-2.7082e-08,-0.064
-2.6682e-08,-0.064
-2.6282e-08,-0.04
-2.5882e-08,-0.04
-2.5482e-08,-0.048
-2.5082e-08,-0.04
-2.4682e-08,-0.056
-2.4282e-08,-0.048
-2.3882e-08,-0.032
-2.3482e-08,-0.024
-2.3082e-08,-0.016
-2.2682e-08,-0.016
-2.2282e-08,-0.032
-2.1882e-08,-0.056
-2.1482e-08,-0.064
-2.1082e-08,-0.072
-2.0682e-08,-0.072
-2.0282e-08,-0.088
-1.9882e-08,-0.096
-1.9482e-08,-0.136
-1.9082e-08,-0.128
-1.8682e-08,-0.12
-1.8282e-08,-0.112
-1.7882e-08,-0.072
-1.7482e-08,-0.064
-1.7082e-08,-0.016
-1.6682e-08,-0.008
-1.6282e-08,-0.024
-1.5882e-08,-0.024
-1.5482e-08,-0.056
-1.5082e-08,-0.096
-1.4682e-08,-0.128
-1.4282e-08,-0.152
-1.3882e-08,-0.168
-1.3482e-08,-0.168
-1.3082e-08,-0.136
-1.2682e-08,-0.112
-1.2282e-08,-0.096
-1.1882e-08,-0.088
-1.1482e-08,-0.104
-1.1082e-08,-0.128
-1.0682e-08,-0.104
-1.0282e-08,-0.096
-9.8820e-09,-0.072
-9.4820e-09,-0.056
-9.0820e-09,-0.064
-8.6820e-09,-0.088
-8.2820e-09,-0.16
-7.8820e-09,-0.168
-7.4820e-09,-0.168
-7.0820e-09,-0.16
-6.6820e-09,-0.144
-6.2820e-09,-0.152
-5.8820e-09,-0.128
-5.4820e-09,-0.144
-5.0820e-09,-0.144
-4.6820e-09,-0.12
-4.2820e-09,-0.152
-3.8820e-09,-0.184
-3.4820e-09,-0.192
-3.0820e-09,-0.208
-2.6820e-09,-0.2
-2.2820e-09,-0.192
-1.8820e-09,-0.208
-1.4820e-09,-0.208
-1.0820e-09,-0.208
-6.8197e-10,-0.176
-2.8197e-10,-0.152
1.1803e-10,-0.12
5.1803e-10,-0.112
9.1803e-10,-0.112
1.3180e-09,-0.104
1.7180e-09,-0.104
2.1180e-09,-0.12
2.5180e-09,-0.112
2.9180e-09,-0.104
3.3180e-09,-0.112
3.7180e-09,-0.112
4.1180e-09,-0.144
4.5180e-09,-0.176
4.9180e-09,-0.216
5.3180e-09,-0.272
5.7180e-09,-0.304
