Unnamed: 0,Detector,Channel,Beam,Pulse,Dose,X,Z,File,ch1_area,ch2_area,ch1_peaks,ch2_peaks,ch1_osc_count,ch2_osc_count,HV
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0209.csv,7.144000000000016e-09,,257,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0210.csv,3.102333333333331e-09,,145,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0211.csv,1.2666666666671571e-11,,42,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0212.csv,1.0476666666666882e-09,,34,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0213.csv,6.154333333333314e-09,,99,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0214.csv,2.5266666666666803e-09,,60,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0215.csv,1.974666666666648e-09,,78,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0216.csv,6.999999999999696e-10,,107,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0217.csv,3.7921333333333335e-08,,287,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0218.csv,2.969999999999918e-10,,70,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0219.csv,2.5919999999999894e-09,,280,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0220.csv,1.3333333333332068e-11,,37,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0221.csv,7.026666666666864e-10,,110,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0222.csv,1.481333333333323e-09,,52,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0223.csv,7.590000000000173e-10,,28,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0224.csv,3.0439999999999812e-09,,102,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0225.csv,6.97999999999995e-10,,38,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0226.csv,9.333333333331215e-12,,43,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0227.csv,8.800000000000492e-11,,28,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0228.csv,2.9800000000001303e-10,,33,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0229.csv,8.093333333333338e-09,,55,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0230.csv,1.291866666666668e-08,,278,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0231.csv,1.484000000000001e-09,,50,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0232.csv,5.233333333333574e-10,,34,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0233.csv,8.233333333334008e-11,,27,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0234.csv,1.270999999999989e-09,,35,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0235.csv,2.090012837355241e-11,,23,,0,,50 ohms time 0.01
,SiC,1.0,Electron 85V,0.5,,0.0,40.0,/Users/rkfuentes/Documents/md_anderson_analysis/yepes_code/data/2025-11-20/scope-results-2025-11-20-0236.csv,2.2533333333333127e-09,,97,,0,,50 ohms time 0.01
